YEAR, MONTH, DAY, SLAT, SLON, MAG, MAGTYPE
2009, 10, 07, 13.084, +166.463, 7.4, MW
2016, 08, 19, 55.279, 31.874, 7.4, mww
2010, 12, 21, +26.899, +143.705, 7.4, MW
1992, 12, 12, 8.475, +121.902, 7.4, mw
2007, 08, 08, 5.891, +107.451, 7.4, MW
1986, 08, 14, +1.818, +126.536, 7.4, mw
1981, 10, 16, 33.153, 73.101, 7.4, mw
2014, 04, 13, 11.467, +161.960, 7.4, MW
2007, 09, 30, 49.247, +164.194, 7.4, MW
1995, 04, 07, 15.336, 173.522, 7.4, mw
2012, 11, 07, +14.032, 92.067, 7.4, MW
2001, 02, 13, 4.754, +102.478, 7.4, MW
1990, 03, 03, 22.071, +175.164, 7.4, mw
1989, 11, 01, +39.854, +142.820, 7.3, mw
2003, 12, 27, 21.891, +169.733, 7.3, MW
1990, 06, 20, +36.989, +49.346, 7.3, mw
1993, 07, 12, +42.886, +139.235, 7.3, mw
2014, 10, 14, +12.589, 88.072, 7.3, MW
2011, 06, 24, +51.980, 171.820, 7.3, MW
1987, 10, 06, 17.929, 172.241, 7.3, mw
1995, 05, 16, 22.980, +169.893, 7.3, mw
1994, 07, 21, +42.367, +132.913, 7.3, mw
2014, 04, 18, +17.321, 100.994, 7.3, MW
1988, 03, 06, +57.274, 142.793, 7.3, mw
2019, 06, 24, 6.408, +129.169, 7.3, mww
1983, 11, 30, 6.852, +72.042, 7.3, mw
2009, 11, 09, 17.267, +178.453, 7.3, MW
2008, 02, 20, +2.763, +95.964, 7.3, MW
2004, 02, 07, 4.030, +135.088, 7.3, MW
2002, 06, 28, +43.763, +130.665, 7.3, MW
2009, 05, 28, +16.808, 86.243, 7.3, MW
1999, 12, 11, +15.758, +119.797, 7.3, Mw
2010, 12, 25, 19.837, +167.938, 7.3, MW
2019, 06, 15, 30.644, 178.106, 7.3, Mww
2019, 07, 14, 0.529, +128.093, 7.3, Mww
1992, 08, 19, +42.123, +73.596, 7.3, mw
