YEAR, MONTH, DTEMPC
1888, 11, -0.117
1888, 12, -0.120
1889, 01, -0.013
1889, 02, -0.032
1889, 03, -0.000
1889, 04, -0.127
1889, 05, -0.196
1889, 06, -0.288
1889, 07, -0.253
1889, 08, -0.333
1889, 09, -0.431
1889, 10, -0.362
1889, 11, -0.231
1889, 12, -0.225
1890, 01, -0.349
1890, 02, -0.465
1890, 03, -0.529
1890, 04, -0.445
1890, 05, -0.474
1890, 06, -0.484
1890, 07, -0.521
1890, 08, -0.490
1890, 09, -0.550
1890, 10, -0.579
1890, 11, -0.490
1890, 12, -0.335
1891, 01, -0.415
1891, 02, -0.378
1891, 03, -0.328
1891, 04, -0.325
1891, 05, -0.190
1891, 06, -0.410
1891, 07, -0.508
1891, 08, -0.495
1891, 09, -0.394
1891, 10, -0.373
1891, 11, -0.350
1891, 12, -0.368
1892, 01, -0.350
1892, 02, -0.152
1892, 03, -0.262
1892, 04, -0.469
1892, 05, -0.411
1892, 06, -0.618
1892, 07, -0.623
1892, 08, -0.545
1892, 09, -0.496
1892, 10, -0.502
1892, 11, -0.367
1892, 12, -0.594
1893, 01, -0.420
1893, 02, -0.333
1893, 03, -0.178
1893, 04, -0.576
1893, 05, -0.491
1893, 06, -0.629
1893, 07, -0.429
1893, 08, -0.349
1893, 09, -0.469
1893, 10, -0.343
1893, 11, -0.337
1893, 12, -0.304
1894, 01, -0.293
1894, 02, -0.312
1894, 03, -0.405
1894, 04, -0.481
1894, 05, -0.574
1894, 06, -0.531
1894, 07, -0.468
1894, 08, -0.460
1894, 09, -0.579
1894, 10, -0.482
1894, 11, -0.345
1894, 12, -0.384
1895, 01, -0.329
1895, 02, -0.388
1895, 03, -0.395
1895, 04, -0.490
1895, 05, -0.544
1895, 06, -0.401
1895, 07, -0.448
1895, 08, -0.250
1895, 09, -0.537
1895, 10, -0.510
1895, 11, -0.337
1895, 12, -0.347
1896, 01, -0.174
1896, 02, -0.197
1896, 03, -0.207
1896, 04, -0.273
1896, 05, -0.367
1896, 06, -0.337
1896, 07, -0.253
1896, 08, -0.159
1896, 09, -0.290
1896, 10, -0.277
1896, 11, -0.056
1896, 12, -0.073
1897, 01, -0.157
1897, 02, -0.078
1897, 03, -0.068
1897, 04, -0.121
1897, 05, -0.193
1897, 06, -0.262
1897, 07, -0.384
1897, 08, -0.312
1897, 09, -0.357
1897, 10, -0.439
1897, 11, -0.444
1897, 12, -0.465
1898, 01, -0.310
1898, 02, -0.443
1898, 03, -0.563
1898, 04, -0.689
1898, 05, -0.618
1898, 06, -0.494
1898, 07, -0.620
1898, 08, -0.517
