YEAR, MONTH, DTEMPC
1898, 02, -0.321
1898, 03, -0.929
1898, 04, -0.456
1898, 05, -0.324
1898, 06, -0.145
1898, 07, -0.136
1898, 08, -0.099
1898, 09, -0.139
1898, 10, -0.459
1898, 11, -0.388
1898, 12, -0.176
1899, 01, 0.006
1899, 02, -0.641
1899, 03, -0.770
1899, 04, -0.263
1899, 05, -0.249
1899, 06, -0.392
1899, 07, -0.081
1899, 08, -0.058
1899, 09, 0.010
1899, 10, 0.040
1899, 11, 0.317
1899, 12, -0.544
1900, 01, -0.334
1900, 02, -0.364
1900, 03, -0.213
1900, 04, -0.179
1900, 05, -0.138
1900, 06, -0.002
1900, 07, -0.094
1900, 08, 0.004
1900, 09, -0.089
1900, 10, 0.311
1900, 11, -0.203
1900, 12, 0.175
1901, 01, -0.102
1901, 02, -0.224
1901, 03, -0.053
1901, 04, 0.029
1901, 05, -0.100
1901, 06, 0.054
1901, 07, 0.105
1901, 08, 0.029
1901, 09, -0.255
1901, 10, -0.147
1901, 11, -0.355
1901, 12, -0.452
1902, 01, -0.032
1902, 02, -0.201
1902, 03, -0.408
1902, 04, -0.526
1902, 05, -0.411
1902, 06, -0.385
1902, 07, -0.399
1902, 08, -0.218
1902, 09, -0.290
1902, 10, -0.344
1902, 11, -0.528
1902, 12, -0.636
1903, 01, -0.045
1903, 02, 0.001
1903, 03, -0.253
1903, 04, -0.394
1903, 05, -0.426
1903, 06, -0.472
1903, 07, -0.446
1903, 08, -0.545
1903, 09, -0.445
1903, 10, -0.548
1903, 11, -0.661
1903, 12, -0.579
1904, 01, -0.669
1904, 02, -0.585
1904, 03, -0.716
1904, 04, -0.583
1904, 05, -0.461
1904, 06, -0.504
1904, 07, -0.511
1904, 08, -0.441
1904, 09, -0.466
1904, 10, -0.304
1904, 11, -0.229
1904, 12, -0.348
1905, 01, -0.510
1905, 02, -0.882
1905, 03, -0.561
1905, 04, -0.642
1905, 05, -0.290
1905, 06, -0.214
1905, 07, -0.117
1905, 08, -0.222
1905, 09, -0.132
1905, 10, -0.281
1905, 11, -0.038
1905, 12, -0.130
1906, 01, -0.044
1906, 02, -0.334
1906, 03, -0.287
1906, 04, -0.020
1906, 05, -0.180
1906, 06, -0.116
1906, 07, -0.207
1906, 08, -0.189
1906, 09, -0.284
1906, 10, -0.217
1906, 11, -0.391
1906, 12, -0.104
1907, 01, -0.492
1907, 02, -0.610
1907, 03, -0.381
1907, 04, -0.639
1907, 05, -0.613
1907, 06, -0.511
1907, 07, -0.292
1907, 08, -0.488
1907, 09, -0.364
1907, 10, -0.252
1907, 11, -0.612
1907, 12, -0.424
1908, 01, -0.336
1908, 02, -0.347
1908, 03, -0.776
1908, 04, -0.471
1908, 05, -0.418
1908, 06, -0.352
1908, 07, -0.410
1908, 08, -0.418
1908, 09, -0.314
1908, 10, -0.508
1908, 11, -0.627
1908, 12, -0.529
1909, 01, -0.512
1909, 02, -0.471
1909, 03, -0.775
1909, 04, -0.654
1909, 05, -0.528
1909, 06, -0.425
1909, 07, -0.451
1909, 08, -0.239
1909, 09, -0.283
1909, 10, -0.335
1909, 11, -0.207
1909, 12, -0.504
1910, 01, -0.168
1910, 02, -0.451
1910, 03, -0.385
1910, 04, -0.400
1910, 05, -0.401
1910, 06, -0.437
1910, 07, -0.421
1910, 08, -0.413
1910, 09, -0.340
1910, 10, -0.353
1910, 11, -0.596
1910, 12, -0.604
1911, 01, -0.473
1911, 02, -0.733
1911, 03, -0.629
1911, 04, -0.617
1911, 05, -0.445
1911, 06, -0.322
1911, 07, -0.370
1911, 08, -0.328
1911, 09, -0.238
1911, 10, -0.340
1911, 11, -0.280
1911, 12, -0.264
1912, 01, -0.474
1912, 02, -0.229
1912, 03, -0.539
1912, 04, -0.344
1912, 05, -0.262
1912, 06, -0.129
1912, 07, -0.428
1912, 08, -0.590
1912, 09, -0.664
1912, 10, -0.796
1912, 11, -0.573
1912, 12, -0.561
1913, 01, -0.441
1913, 02, -0.697
1913, 03, -0.603
1913, 04, -0.483
1913, 05, -0.595
1913, 06, -0.567
1913, 07, -0.518
1913, 08, -0.369
1913, 09, -0.453
1913, 10, -0.447
1913, 11, -0.162
1913, 12, -0.044
1914, 01, 0.100
1914, 02, -0.130
1914, 03, -0.363
1914, 04, -0.434
1914, 05, -0.204
1914, 06, -0.285
1914, 07, -0.286
1914, 08, -0.246
1914, 09, -0.263
1914, 10, -0.124
1914, 11, -0.327
1914, 12, -0.280
1915, 01, -0.054
1915, 02, -0.050
1915, 03, -0.446
1915, 04, -0.074
1915, 05, -0.227
1915, 06, -0.113
1915, 07, -0.047
1915, 08, -0.002
1915, 09, -0.075
1915, 10, -0.227
1915, 11, -0.079
1915, 12, -0.152
1916, 01, -0.169
1916, 02, -0.186
1916, 03, -0.540
1916, 04, -0.334
1916, 05, -0.428
1916, 06, -0.454
1916, 07, -0.182
1916, 08, -0.333
1916, 09, -0.431
1916, 10, -0.408
1916, 11, -0.437
1916, 12, -0.763
1917, 01, -0.622
1917, 02, -0.855
1917, 03, -0.897
